Stn Id,Stn Name,CIMIS Region,Month Year,Total ETo (in),qc,Total Precip (in),qc,Avg Sol Rad (Ly/day),qc,Avg Vap Pres (mBars),qc,Avg Max Air Temp (F),qc,Avg Min Air Temp (F),qc,Avg Air Temp (F),qc,Avg Max Rel Hum (%),qc,Avg Min Rel Hum (%),qc,Avg Rel Hum (%),qc,Avg Dew Point (F),qc,Avg Wind Speed (mph),qc,Avg Soil Temp (F),qc
129,Pajaro,Monterey Bay,Jan-21,1.88, ,5.42, ,224, ,9.3,K,62.9,K,39.7,K,50.6,K,94, ,52, ,75,K,42,K,3.6,K,52.5, 
129,Pajaro,Monterey Bay,Feb-21,2.34, ,0.98, ,324,K,9.1,K,62.5, ,37.2, ,49.7, ,97, ,49, ,76,K,41.8,K,3.2, ,52.8, 
129,Pajaro,Monterey Bay,Mar-21,3.74,K,2.75, ,441,K,8.9,K,61.7,K,37,K,49.6,K,96, ,50, ,74,K,41.3,K,3.8, ,54.6, 
129,Pajaro,Monterey Bay,Apr-21,4.35,K,0.2, ,523,K,10.5, ,61.6,K,44.1, ,52.5,K,94, ,62, ,78,K,45.8,K,4.7,K,59.6, 
129,Pajaro,Monterey Bay,May-21,5.32, ,0.07, ,606, ,11.6,K,64.5, ,46.8,K,54.8, ,94, ,63, ,79,K,48.4,K,4.8, ,64, 
129,Pajaro,Monterey Bay,Jun-21,5.71,K,0.02, ,632, ,13.7, ,68.1,K,51.2,K,59.1,K,94, ,64, ,80,K,52.8,K,5, ,68.3, 
129,Pajaro,Monterey Bay,Jul-21,5.01, ,0.08, ,554, ,14.6, ,65.7, ,54.5, ,58.8, ,96, ,74, ,86, ,54.7, ,4.7, ,70.4, 
129,Pajaro,Monterey Bay,Aug-21,4.28, ,0.06, ,472, ,15.6, ,67.3, ,56.2, ,60.5, ,96, ,74, ,86, ,56.5, ,4.3, ,71.1, 
129,Pajaro,Monterey Bay,Sep-21,3.97, ,0.06, ,445, ,14.7, ,69.3,K,53.9, ,59.9, ,96, ,66, ,84, ,54.8, ,3.8, ,70.3, 
129,Pajaro,Monterey Bay,Oct-21,3.41, ,5.72, ,356,K,12.2,K,70, ,47.3, ,57.6, ,95, ,52, ,77,L,49.9,L,3.6,K,64.8, 
129,Pajaro,Monterey Bay,Nov-21,2.28, ,1.55, ,275, ,12,K,71,K,47,K,57.1, ,94, ,51, ,75,K,48.9,K,3, ,60.9,K
129,Pajaro,Monterey Bay,Dec-21,1.3,K,2.73, ,179,K,10.1, ,58.1,K,40.6, ,49.1, ,97, ,64, ,84, ,44.5, ,3.1,K,53.5, 
129,Pajaro,Monterey Bay,Jan-22,2.03, ,0.14, ,250, ,9.5, ,64.6, ,40.7, ,51.1, ,94, ,49, ,74, ,42.7, ,2.9, ,52.4, 
