Month Year,Recycled Water (AF),Blend Water (AF),Total Delivered (AF)
21-Jan,108,24,132
21-Feb,115,16,131
21-Mar,210,62,272
21-Apr,309,284,593
21-May,377,425,802
21-Jun,344,482,826
21-Jul,348,472,820
21-Aug,278,381,659
21-Sep,299,260,559
21-Oct,200,92,292
21-Nov,185,45,230
21-Dec,61,12,73
22-Jan,99,24,123
22-Feb,176,26,202
22-Mar,202,44,246
22-Apr,243,90,333
22-May,350,294,644
22-Jun,365,385,750
22-Jul,382,376,758
22-Aug,351,313,664
22-Sep,250,160,410
22-Oct,254,35,289
22-Nov,169,76,245
22-Dec,40,1,41
23-Jan,29,1,30
23-Feb,64,12,76
23-Mar,25,1,26
23-Apr,261,85,346
23-May,290,148,438
23-Jun,324,286,610
23-Jul,373,271,644
23-Aug,369,233,602
23-Sep,304,164,468
23-Oct,321,82,403
23-Nov,201,41,242
23-Dec,95,29,124
